,curv,dvdt,e1,e2,e3,e4,gamma_apf,gamma_j,gamma_k,gamma_lick,jit_apf,jit_j,jit_k,jit_lick,k1,k2,k3,k4,num_planets,per1,per2,per3,per4,secosw1,secosw2,secosw3,secosw4,sesinw1,sesinw2,sesinw3,sesinw4,star,tc1,tc2,tc3,tc4,tp1,tp2,tp3,tp4,w1,w2,w3,w4
131,-4.784921678568235e-07,0.0006543371152719564,,,,,,-2.6485805219109415,-2.4978779840076166,,,3.4495200807628756,4.339235570685017,,11.797754111357069,,,,1,470.8684998603108,,,,0.043376825183166066,,,,-0.651886863147501,,,,31253,26.599354184047435,,,,,,,,,,,
132,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,31560,,,,,,,,,,,,
133,0.00025803099912122534,2.062932997228368,,,,,,-3675.63680142986,7799.91151517654,,,5395.082343214265,3.573555166548478,,98.26936108762163,,,,1,3190.9919051588436,,,,-0.10209293085764123,,,,-0.08795128613762924,,,,31412,1586.7646960089849,,,,,,,,,,,
134,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,31966,,,,,,,,,,,,
135,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,hip23512,,,,,,,,,,,,
136,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,33021,,,,,,,,,,,,
137,9.106693034114095e-08,-0.00023987319729969924,,,,,,3.197194734449508,2.9102048211982368,10.468095635722449,,2.7054185598067133,2.452163191843723,381.9589630669617,11.447788105109073,,,,1,2331.488451867678,,,,0.13228254373530496,,,,0.1438470316550402,,,,32963,2627.149793315937,,,,,,,,,,,
138,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,33793,,,,,,,,,,,,
139,2.3518638974047457e-07,-0.0015353830538051608,,,,,,-37.9540526517424,-46.88968979105225,5.925152170635433,,4.483165652755511,4.026791091297143,7.529785697512878,159.7655479159279,,,,1,2112.7500897765517,,,,0.6417851556385937,,,,-0.27497711401263575,,,,33636,730.8287131847981,,,,,,,,,,,
140,-1.0721128697756669e-06,-0.0019752279642987064,,,,,,3.3873377467066836,3.002027459558202,,,6.237433906694554,5.876900367356782,,14.38661845203659,,,,1,1061.0318546675317,,,,0.080456041763683,,,,0.7058656897391603,,,,34445,-427.9846110973573,,,,,,,,,,,
141,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,2.0,2.0,,,,,,0,,,,,,,,,,,,,34721,,,,,,,,,,,,
142,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,,0,,,,,,,,,,,,,34411,,,,,,,,,,,,
143,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,34745,,,,,,,,,,,,
144,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,34575,,,,,,,,,,,,
145,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,35627,,,,,,,,,,,,
146,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,35974,,,,,,,,,,,,
147,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,36003,,,,,,,,,,,,
148,7.817851124698056e-07,0.0014899974043498054,,,,,,6.570633939231827,-23.65675528929023,,,0.0004275767312711385,13.50820817066391,,28.43852227324114,,,,1,23.285118331988464,,,,-0.1667481979989274,,,,0.3573926892435451,,,,36308,8.08296303957154,,,,,,,,,,,
149,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,36395,,,,,,,,,,,,
150,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,37213,,,,,,,,,,,,
