,hostname,status,pl_index,per,per_errplus,per_errminus,mass,mass_errplus,mass_errminus,axis,axis_errplus,axis_errminus,tc,tc_errplus,tc_errminus,w,w_errplus,w_errminus,k,k_errplus,k_errminus,e,e_errplus,e_errminus,letter
109,188015,K,1.0,462.59,0.35,0.37,1.454,0.061,0.06,1.187,0.018,0.019,2452094.4,5.4,5.4,0.76,0.17,0.15,37.8,1.1,1.1,0.17,0.025,0.026, b
111,189733,K,1.0,2.218555,1.5e-05,1.5e-05,1.163,0.036,0.035,0.03126,0.00036,0.00036,2454818.562,0.016,0.013,0.35,0.64,0.88,205.7,4.2,4.0,0.027,0.021,0.018, b
112,190360,K,1.0,2892.2,4.5,4.5,1.492,0.043,0.043,3.955,0.051,0.053,2456758.0,8.7,8.4,0.242,0.029,0.027,22.73,0.29,0.29,0.3274,0.0081,0.0087, b
113,190360,K,2.0,17.11704,0.00068,0.00063,0.0675,0.0027,0.0027,0.1294,0.0017,0.0017,2455198.42,0.23,0.22,-0.67,0.19,0.2,5.45,0.16,0.16,0.165,0.027,0.028, c
118,192263,K,1.0,24.3597,0.0016,0.0016,0.658,0.03,0.03,0.154,0.0019,0.002,2452107.09,0.28,0.33,0.4,0.76,1.4,52.7,2.0,2.0,0.04,0.037,0.027, b
119,192310,K,1.0,74.062,0.085,0.085,0.0451,0.0064,0.0059,0.3262,0.0036,0.0037,2455694.7,2.9,3.3,-0.2,1.0,0.76,2.49,0.35,0.33,0.14,0.12,0.093, b
123,195019,K,1.0,18.201228,8.8e-05,8.9e-05,3.655,0.089,0.091,0.1376,0.0016,0.0017,2453356.428,0.022,0.02,0.91,0.17,0.16,273.62,0.83,0.91,0.0198,0.0032,0.0032, b
131,209458,K,1.0,3.52476,1.3e-05,1.3e-05,0.665,0.022,0.022,0.04634,0.00069,0.0007,2452900.641,0.013,0.015,0.0,1.1,1.1,84.9,1.2,1.3,0.01,0.011,0.0074, b
132,210277,K,1.0,442.943,0.065,0.063,1.236,0.032,0.032,1.123,0.014,0.014,2457177.69,0.47,0.48,-0.96,0.017,0.017,38.32,0.26,0.25,0.472,0.0055,0.0056, b
136,213472,C,1.0,17000.0,12000.0,4800.0,3.5,1.1,0.59,13.0,5.7,2.6,2459580.0,190.0,160.0,0.65,0.24,0.25,31.1,7.5,3.4,0.53,0.12,0.085, b
140,216520,K,2.0,35.466,0.015,0.016,0.0326,0.0036,0.0038,0.1954,0.0025,0.0025,2455216.8,1.3,1.4,-0.8,1.2,0.45,2.42,0.27,0.28,0.19,0.13,0.12, b
142,217014,K,1.0,4.2307969,7.3e-06,7.8e-06,0.464,0.014,0.014,0.05235,0.00076,0.00079,2455705.001,0.006,0.006,0.1,1.0,1.2,55.73,0.32,0.3,0.0042,0.0046,0.003, b
144,217107,K,1.0,7.1268744,6.7e-06,6.5e-06,1.385,0.039,0.039,0.0739,0.001,0.0011,2456306.847,0.004,0.003,0.394,0.014,0.014,141.91,0.26,0.26,0.1279,0.0017,0.0016, b
145,217107,K,2.0,5141.0,13.0,13.0,4.31,0.13,0.13,5.942,0.083,0.086,2460064.0,22.0,23.0,0.431,0.021,0.021,53.08,0.71,0.7,0.3928,0.0069,0.0067, c
147,218566,K,1.0,225.17,0.42,0.52,0.198,0.018,0.018,0.6875,0.0081,0.0084,2454667.4,7.3,7.3,0.76,0.41,0.36,7.68,0.7,0.7,0.27,0.1,0.095, b
149,219134,K,1.0,2104.0,16.0,17.0,0.308,0.014,0.014,2.968,0.037,0.037,2456761.0,20.0,20.0,-0.0,1.1,1.1,5.73,0.22,0.23,0.025,0.027,0.018, h
150,219134,K,2.0,46.734,0.012,0.012,0.0516,0.0032,0.003,0.2345,0.0027,0.0027,2455208.44,0.97,1.0,-0.4,0.8,0.6,3.43,0.2,0.18,0.077,0.055,0.05, d
151,219134,K,3.0,3.092947,7.6e-05,7.9e-05,0.013,0.001,0.0011,0.03838,0.00044,0.00044,2455199.744,0.089,0.084,0.17,0.87,1.1,2.13,0.16,0.17,0.063,0.07,0.045, b
153,219134,K,5.0,22.7945,0.0047,0.0056,0.0243,0.0023,0.0022,0.1453,0.0017,0.0016,2455233.17,0.7,0.74,0.18,0.96,1.2,2.05,0.19,0.18,0.072,0.078,0.051, f
154,219134,K,6.0,6.76406,0.00093,0.00076,0.0112,0.0014,0.0014,0.06466,0.00074,0.00073,2455200.81,0.38,0.43,0.11,0.76,0.78,1.44,0.18,0.18,0.16,0.12,0.11, c
157,22049,K,1.0,2650.0,21.0,21.0,0.651,0.038,0.039,3.5,0.039,0.039,2457388.0,45.0,36.0,-0.2,1.2,0.86,11.0,0.59,0.61,0.044,0.047,0.031, b
159,222582,K,1.0,572.537,0.05,0.049,7.88,0.24,0.24,1.335,0.02,0.02,2453054.2,1.0,1.1,-0.7066,0.0063,0.0063,303.8,3.0,2.9,0.7615,0.0035,0.0034, b
162,24040,K,1.0,3552.0,11.0,11.0,4.05,0.15,0.15,4.708,0.074,0.077,2456932.0,15.0,17.0,0.09,0.93,1.0,50.53,0.84,0.8,0.012,0.011,0.0082, b
163,24040,C,2.0,515.4,2.2,2.5,0.201,0.027,0.027,1.3,0.021,0.022,2454984.0,19.0,17.0,-0.3,1.3,0.87,4.85,0.64,0.64,0.11,0.12,0.079, c
167,26161,C,1.0,32000.0,21000.0,10000.0,13.5,8.5,3.7,20.4,7.9,4.9,2460540.0,450.0,280.0,-0.07,0.13,0.12,140.0,98.0,40.0,0.82,0.061,0.05, b
170,28185,K,1.0,385.54,0.13,0.11,6.04,0.2,0.2,1.044,0.017,0.017,2455438.7,1.0,0.86,-0.028,0.067,0.06,166.43,0.93,0.93,0.0629,0.0042,0.0049, b
172,285968,K,1.0,8.7752,0.0013,0.0013,0.0285,0.0043,0.0043,0.06649,0.00043,0.00043,2455191.0,0.33,0.36,0.1,1.0,1.3,4.51,0.68,0.67,0.16,0.14,0.11, b
175,31253,K,1.0,468.7,2.2,3.5,0.446,0.063,0.063,1.295,0.024,0.025,2454222.0,55.0,56.0,0.82,0.44,2.0,10.8,1.9,1.7,0.44,0.12,0.17, b
179,32963,K,1.0,2328.0,24.0,24.0,0.726,0.036,0.035,3.416,0.058,0.059,2455371.0,21.0,21.0,-0.2,1.5,1.2,11.32,0.42,0.41,0.069,0.04,0.039, b
180,33636,K,1.0,2110.0,1.5,1.6,8.93,0.29,0.3,3.238,0.052,0.053,2468403.0,13.0,13.0,-0.415,0.014,0.014,160.5,1.0,0.99,0.491,0.005,0.0049, b
181,34445,K,1.0,1059.0,5.5,5.6,0.658,0.041,0.04,2.105,0.038,0.039,2454809.0,11.0,12.0,0.82,0.58,2.2,12.35,0.63,0.65,0.103,0.059,0.056, b
186,3651,K,1.0,62.242,0.0032,0.0032,0.2202,0.0078,0.0076,0.2955,0.0043,0.0044,2455098.9,0.83,0.87,1.105,0.036,0.037,15.5,0.39,0.41,0.614,0.015,0.015, b
188,3765,C,1.0,1211.0,15.0,16.0,0.173,0.014,0.013,2.108,0.032,0.033,2455607.0,52.0,54.0,-1.1,2.6,0.32,3.85,0.28,0.27,0.298,0.078,0.071, b
190,38529,K,1.0,2133.3,1.5,1.5,13.21,0.1,0.1,3.7365,0.0099,0.0099,2454612.6,3.3,3.3,0.37,0.017,0.017,168.12,0.96,0.99,0.3545,0.0048,0.0047, c
191,38529,K,2.0,14.31014,0.00023,0.00022,0.876,0.014,0.014,0.1329,0.00034,0.00035,2455200.3,0.05,0.05,-1.5,3.0,0.061,57.26,0.9,0.88,0.26,0.014,0.015, b
193,40979,K,1.0,265.36,0.24,0.25,3.8,0.16,0.16,0.8669,0.0076,0.0075,2452405.1,3.5,3.3,-0.62,0.15,0.14,107.9,4.1,3.9,0.251,0.028,0.028, b
194,4203,K,1.0,437.18,0.14,0.16,1.822,0.078,0.078,1.177,0.021,0.022,2440618.8,6.0,6.0,-0.504,0.039,0.045,52.2,1.3,1.2,0.513,0.013,0.014, b
195,4203,K,2.0,7400.0,8900.0,1100.0,2.68,0.99,0.24,7.8,5.4,0.78,2453780.0,130.0,490.0,0.55,0.61,1.7,26.1,4.4,1.5,0.19,0.29,0.089, c
196,4208,K,1.0,829.5,2.0,2.0,0.771,0.036,0.036,1.634,0.022,0.022,2452114.0,10.0,9.8,0.57,0.77,1.8,18.68,0.71,0.67,0.059,0.044,0.038, b
201,42618,K,2.0,148.49,0.2,0.18,0.0478,0.0058,0.0056,0.5337,0.0088,0.0091,2455170.6,3.2,3.4,-1.0,2.3,0.43,2.04,0.24,0.24,0.27,0.13,0.12, b
203,45184,K,1.0,5.8858,0.00026,0.00025,0.0375,0.004,0.0038,0.0641,0.0011,0.0011,2455946.53,0.28,0.25,0.66,0.64,1.9,4.28,0.43,0.42,0.18,0.1,0.1, b
204,45184,K,2.0,13.1407,0.0013,0.0021,0.0344,0.0057,0.0058,0.1095,0.0018,0.0018,2455954.0,1.3,1.7,-1.0,2.2,0.37,3.43,0.89,0.74,0.48,0.18,0.24, c
206,45350,K,1.0,978.19,0.23,0.22,1.821,0.075,0.071,1.958,0.029,0.03,2453802.1,4.8,4.7,-0.413,0.023,0.023,59.4,3.2,2.6,0.794,0.012,0.012, b
209,46375,K,1.0,3.023495,1.3e-05,1.3e-05,0.2266,0.0089,0.0086,0.03998,0.00059,0.0006,2452571.044,0.027,0.027,-0.82,0.49,0.38,33.46,0.8,0.8,0.063,0.024,0.024, b
212,49674,K,1.0,4.94724,0.00013,0.00012,0.1149,0.0084,0.0084,0.058,0.00083,0.00084,2454625.614,0.078,0.092,0.29,0.83,1.3,13.21,0.88,0.89,0.06,0.06,0.042, b
213,50499,K,1.0,2462.0,15.0,16.0,1.346,0.083,0.087,3.846,0.039,0.039,2455005.0,74.0,76.0,1.36,0.15,2.8,18.61,0.99,1.0,0.348,0.046,0.045, b
214,50499,K,2.0,10400.0,3200.0,1300.0,3.18,0.63,0.46,10.1,2.0,0.85,2452710.0,130.0,250.0,-0.96,0.67,0.35,26.1,3.9,3.3,0.241,0.089,0.075, c
215,50554,K,1.0,1222.8,1.9,1.8,4.35,0.19,0.18,2.265,0.035,0.036,2453200.5,6.1,6.5,0.061,0.037,0.039,90.8,3.6,3.1,0.459,0.019,0.018, b
217,52265,K,1.0,119.263,0.013,0.013,1.108,0.031,0.031,0.506,0.0055,0.0057,2456393.46,0.73,0.76,1.009,0.07,0.068,41.14,0.69,0.69,0.213,0.013,0.014, b
222,66428,K,1.0,2288.9,6.2,6.8,3.19,0.11,0.11,3.455,0.049,0.05,2456562.0,13.0,13.0,0.096,0.054,0.045,52.5,1.1,1.1,0.418,0.015,0.014, b
223,66428,C,2.0,39000.0,56000.0,18000.0,27.0,22.0,17.0,23.0,19.0,7.6,2445900.0,4600.0,4500.0,0.54,0.65,1.4,150.0,120.0,85.0,0.32,0.23,0.16, c
226,68988,K,1.0,6.2764187,8.2e-06,7.8e-06,1.914,0.053,0.054,0.0702,0.00097,0.00099,2451549.717,0.005,0.006,0.705,0.019,0.018,192.2,0.61,0.63,0.1581,0.0027,0.0031, b
227,68988,C,2.0,16000.0,11000.0,3500.0,15.0,2.8,1.5,13.2,5.3,2.0,2451660.0,110.0,180.0,-0.13,0.037,0.043,121.0,13.0,7.3,0.45,0.13,0.081, c
229,69830,K,1.0,8.66945,0.00051,0.0005,0.0323,0.0022,0.002,0.0794,0.0012,0.0012,2456585.35,0.16,0.15,0.52,0.45,0.61,3.48,0.21,0.19,0.112,0.054,0.06, b
230,69830,K,2.0,31.613,0.013,0.014,0.031,0.0031,0.0029,0.1882,0.0029,0.0029,2455197.35,0.78,0.78,-0.4,1.3,0.74,2.18,0.21,0.19,0.114,0.096,0.079, c
231,69830,K,3.0,200.61,0.68,0.69,0.0443,0.0055,0.0055,0.645,0.01,0.01,2455307.0,9.4,9.3,-0.1,1.2,1.0,1.68,0.2,0.21,0.1,0.1,0.073, d
233,72659,K,1.0,3570.0,23.0,18.0,2.85,0.12,0.12,4.652,0.067,0.068,2457164.0,38.0,40.0,1.455,0.066,0.12,38.02,0.94,1.1,0.269,0.018,0.026, b
235,74156,K,1.0,2448.6,3.4,3.3,7.65,0.26,0.27,3.726,0.063,0.066,2457109.7,9.0,8.9,-1.527,0.017,0.017,112.98,0.71,0.7,0.3691,0.0055,0.0055, c
236,74156,K,2.0,51.63603,0.00066,0.00072,1.745,0.061,0.061,0.2844,0.0048,0.005,2455231.464,0.047,0.048,-0.121,0.01,0.01,114.57,0.9,0.87,0.6536,0.0036,0.0038, b
237,75732,K,1.0,14.65171,5.3e-05,5.2e-05,0.841,0.026,0.026,0.1162,0.0018,0.0018,2455803.293,0.014,0.014,-0.6,1.7,0.61,71.08,0.23,0.21,0.0048,0.0036,0.0031, b
238,75732,K,2.0,44.3827,0.0038,0.0038,0.171,0.0066,0.0066,0.2432,0.0037,0.0038,2455846.83,0.43,0.48,0.53,0.46,0.64,10.01,0.22,0.25,0.048,0.031,0.029, c
