,Nobs,Nobs_CORAVEL,Nobs_apf,Nobs_j,Nobs_k,Nobs_lick,Nobs_mcdonald,baseline,baseline_CORAVEL,baseline_apf,baseline_j,baseline_k,baseline_lick,baseline_mcdonald,med_err_CORAVEL,med_err_apf,med_err_j,med_err_k,med_err_lick,med_err_mcdonald,name
336,44,,,27.0,17.0,,,8148.718439999968,,,5266.646992999595,2504.9895370001905,,,,,1.0932812971934565,1.3632139616273657,,,36395
337,418,,159.0,71.0,34.0,154.0,,11629.19356694445,,2095.2053099442273,5413.1701949997805,2621.888171000406,8068.00573500013,,,2.0018015624160124,0.9903477606516649,1.2466756888118038,3.1592264500747502,,3651
338,62,,,62.0,,,,5257.644457999617,,,5257.644457999617,,,,,,1.1213653416685418,,,,37008
339,61,,35.0,15.0,,11.0,,9834.792595649138,,1897.7517059999518,5136.936116000172,,4695.096733561251,,,2.2555451184552626,1.090225191604107,,6.126181016879279,,37394
340,134,,,107.0,27.0,,,8015.075609122403,,,5237.888572122436,2527.012163999956,,,,,0.6267137938016013,1.3156461698423465,,,3765
341,65,,,24.0,41.0,,,7008.009581999853,,,5113.0388179998845,1852.983251999598,,,,,3.273523047534447,5.087510605793204,,,377
342,44,,,13.0,31.0,,,7783.7490010000765,,,4910.743978000246,2622.800890999846,,,,,1.3057332212094668,1.4708472311133531,,,3795
343,24,,,10.0,14.0,,,8201.57697699964,,,5265.639500000048,2556.954664999619,,,,,1.4369567857096637,1.4186509981153634,,,37962
344,76,,,53.0,23.0,,,8175.622498000041,,,5293.589281000197,2651.723390999716,,,,,1.0142956594182067,1.2792480006526925,,,38230
345,17,,,17.0,,,,5205.877751092892,,,5205.877751092892,,,,,,1.1286203663135543,,,,38392
346,364,,130.0,54.0,46.0,134.0,,8196.759083000012,,1949.7307790000923,4864.770479272585,2184.02054399997,4127.5264814822,,,2.189289106159014,1.1288738018888227,1.4822594027256546,4.652706502604488,,38529
347,195,,117.0,61.0,17.0,,,8196.75636,,1929.731800999958,5312.72899702657,2479.178472000174,,,,2.5496511846409544,1.185007966934063,1.3465639544631756,,,38858
348,20,,,13.0,,7.0,,5483.0306669999845,,,3334.7896279999986,,3274.1609229999594,,,,0.9281781795903454,,7.724735537573458,,39715
349,43,,,23.0,20.0,,,8142.8338950001635,,,5206.81244900031,2557.9429049999453,,,,,1.3401789124201122,1.7794232702703434,,,39881
350,161,,102.0,45.0,14.0,,,7671.034300999716,,1861.8632353576832,5206.698898000177,2150.1146299997345,,,,2.6547256915680046,1.1215390550541773,1.3624961447164212,,,40397
351,87,,,21.0,21.0,45.0,,7647.313548000064,,,5176.066988000181,851.7202540002763,4337.131391858682,,,,1.7611035112867888,2.0940887408138282,10.041520016495245,,40979
352,33,,,33.0,,,,4785.159909858368,,,4785.159909858368,,,,,,1.9997599413083913,,,,41593
353,53,,,33.0,20.0,,,6895.003647000063,,,4928.37948000012,1422.9996759998612,,,,,1.0342952909869758,1.5227621876200028,,,4203
354,56,,,16.0,40.0,,,8029.001453000121,,,4791.885168000124,2829.1094789998606,,,,,1.3047343711713995,1.4437922545929807,,,4208
355,117,,,89.0,28.0,,,8285.137609000318,,,5253.373338000383,2829.105475000106,,,,,0.6687845434907657,1.1862204077646417,,,4256
356,39,,,20.0,19.0,,,7976.001476433128,,,5094.043894999661,2504.01128543308,,,,,0.9837582963060426,1.3643378374795865,,,42581
357,360,,111.0,227.0,22.0,,,8229.521751524415,,1864.7158507583663,5291.6096685240045,2622.7635180000216,,,,2.8113605858252413,0.7380836029383946,1.3654327487334537,,,42618
358,46,,,28.0,18.0,,,8004.075710000005,,,5131.090270000044,2558.975174000021,,,,,1.1279910713824255,1.5059166653185618,,,4307
359,29,,,11.0,18.0,,,8229.592987999786,,,5293.627998999786,2558.0132299996912,,,,,1.698451884632696,1.4952702997806364,,,43745
360,35,,,22.0,13.0,,,7760.8457410000265,,,5297.650253999978,2085.2643869998865,,,,,1.5423846089850002,1.662152055481103,,,43947
361,24,,,13.0,11.0,,,7055.708217000123,,,5295.54888530029,1380.1223270003684,,,,,1.2767524985086227,1.3738196435582921,,,44420
362,26,,,12.0,14.0,,,7756.842468000017,,,5291.650233999826,2085.2556830001995,,,,,1.4846969716173757,1.5193531455764413,,,44985
363,34,,,14.0,20.0,,,8089.996117999777,,,5204.817535311915,2480.1753239999525,,,,,1.890978155150064,1.9745457187068516,,,45067
364,132,,,114.0,18.0,,,8218.620061173104,,,5280.655153173488,2558.0055209998973,,,,,0.7813273166931332,1.3273518614993762,,,45184
365,72,,,42.0,30.0,,,7024.786228000186,,,5266.824706836604,1527.8299300000072,,,,,1.0683481057760984,1.4319681410189813,,,45350
366,29,,,13.0,16.0,,,8229.586143999826,,,5291.669604999945,2557.9945829999633,,,,,2.2623673116472323,2.162969266706648,,,45588
367,283,,175.0,60.0,,48.0,,11588.94750379771,,2099.9341009999625,5189.8732619998045,,6298.861585936509,,,1.7766689109923315,1.2348600031889343,,7.203677231586838,,4614
368,378,,206.0,116.0,,56.0,,11605.209060000256,,1942.787306000013,4719.143241411075,,7678.008817752358,,,1.8802007060505752,1.0945292854138597,,5.470579324525204,,4628
369,56,,,19.0,37.0,,,7420.807858000044,,,5151.839826000389,1974.6892820000648,,,,,1.0705477206917804,1.2284010995355243,,,46375
370,52,,,10.0,24.0,18.0,,6973.0286300000735,,,5169.860702000093,1501.7264239997603,3329.834085999988,,,,1.2942058765693725,1.3996309847656225,5.329437230488436,,47157
371,41,,,33.0,,8.0,,7404.89188000001,,,5256.737978000194,,3709.893891000189,,,,1.6888113486017282,,6.7608024579166734,,47752
372,357,,189.0,77.0,,91.0,,11459.8823078922,,1925.7006829995662,4422.785015502013,,7798.70810252754,,,2.854082751343219,1.307422639246862,,5.448214256864716,,48682
373,30,,,13.0,17.0,,,8196.744253000244,,,5311.666394000407,2505.164189999923,,,,,2.01813216135539,1.7198575951232409,,,48938
374,77,,,68.0,,9.0,,7336.141015000176,,,4557.845650481526,,2804.3462169999257,,,,1.3292024831830318,,7.996856018167982,,4915
375,82,,,48.0,34.0,,,6596.023178999778,,,5176.049151000101,1042.0178239997476,,,,,1.0901736909407616,1.3922444315706124,,,49674
376,73,,,24.0,29.0,20.0,,9081.04495858401,,,5082.831139828544,2652.78790500015,5560.558957876172,,,,1.2099923421295797,1.4853262509819343,5.481076416088278,,50281
377,72,,,40.0,32.0,,,8165.772324999794,,,5215.786735000089,2652.786376999691,,,,,1.2546616236770691,1.7371812442789711,,,50499
378,103,,8.0,28.0,19.0,48.0,,7700.98456799984,,76.79620300000533,5229.754360000137,1754.0252320002764,4396.9047909998335,,,3.492658462477651,1.45788127373713,1.7497460465655692,7.390311740750572,,50554
379,25,,,12.0,13.0,,,7771.868637999985,,,5306.686553999782,2149.029387000017,,,,,1.8425442482348833,1.8994344112582013,,,50639
380,208,,119.0,73.0,16.0,,,8147.832365000155,,1922.6996906818822,5307.758020855952,2462.1930209998973,,,,2.7147752454908725,1.3819533239062656,1.4504889396471186,,,50692
381,33,,,11.0,22.0,,,8142.826001000125,,,5204.915457000025,2679.610220000148,,,,,1.194561153417001,1.3348613081859422,,,50806
382,26,,,10.0,16.0,,,7788.718819000293,,,5291.740081184078,2117.0872920001857,,,,,1.2890343840758882,1.4411201034045713,,,51219
383,163,,43.0,108.0,,12.0,,7455.824106000364,,1541.6796762221493,4524.580647155177,,3710.8323357254267,,,2.320483127855356,0.8350166735107885,,7.139585500931046,,51419
384,72,,,55.0,17.0,,,8097.8799439999275,,,5256.630245000124,2463.195371000096,,,,,1.0719506887307915,1.2622335656514383,,,51866
385,120,,48.0,46.0,26.0,,,7652.978523999918,,1890.8023899998516,5151.775329999626,2149.05535900034,,,,3.0050841100749883,1.3310350453391986,1.5703121443501384,,,52265
386,23,,,10.0,13.0,,,7541.602727999911,,,5270.654684999958,1918.9772100001574,,,,,1.2031758291531482,1.322058302516961,,,52456
387,301,,134.0,96.0,14.0,57.0,,11567.784903232474,,1922.7148139998317,5247.711526232306,2379.3022799999453,8152.960361334961,,,2.6609287230560925,1.2412083565391567,1.5846207778154024,5.704904141366364,,52711
388,34,,,34.0,,,,5017.135877999943,,,5017.135877999943,,,,,,1.4232490578762296,,,,52919
389,29,,,14.0,15.0,,,7778.842341000214,,,5313.61390400026,2149.046551000327,,,,,2.5023993379144094,2.970020124428734,,,53665
390,29,,,10.0,19.0,,,7590.0287669999525,,,4465.709669999778,2390.297695999965,,,,,1.267769327970254,1.417159052072428,,,5372
391,35,,,35.0,,,,1799.188637000043,,,1799.188637000043,,,,,,1.4354918282319284,,,,53927
392,239,,144.0,74.0,,21.0,,7406.786133999936,,1918.7083370001055,4429.869127206504,,3712.6666006925516,,,2.747229862626944,1.417039721581204,,6.874819214087605,,55575
393,27,,,11.0,16.0,,,8198.712807000149,,,5278.615792999975,2506.1397339999676,,,,,1.7792145829027284,1.7024077797070518,,,56274
394,26,,,14.0,12.0,,,7778.838682999834,,,5313.607433000114,2086.2656139996834,,,,,1.4399238303560529,1.551588855747211,,,56303
395,35,,,25.0,10.0,,,7218.148188999854,,,5020.128339999821,1754.1617119996808,,,,,1.4235403553688637,1.9628043910561306,,,60491
396,32,,,32.0,,,,1625.6084139999002,,,1625.6084139999002,,,,,,2.1703273877866827,,,,6101
397,41,,,30.0,11.0,,,8113.760826999787,,,5163.762226999737,2569.952395999804,,,,,1.1490329556867112,1.3908827676759923,,,61606
398,34,,,34.0,,,,5198.842193999793,,,5198.842193999793,,,,,,1.111748532121382,,,,62613
399,32,,,13.0,19.0,,,8198.710318000056,,,5278.670479999855,2597.7198157557286,,,,,1.8186553895657767,1.8221204551973424,,,63754
400,65,,,46.0,19.0,,,8133.779459000099,,,5225.839552000165,2555.8840040001087,,,,,1.0937027229780467,1.2439930855725279,,,65277
401,23,,,13.0,10.0,,,6357.787842999678,,,5252.727599999867,791.904015999753,,,,,1.6791729091453744,2.0018794525363166,,,6558
402,176,,110.0,50.0,16.0,,,8226.675524000078,,1839.9029700001702,5275.7907440001145,2654.9457422392443,,,,2.68142935695591,1.4153756429092104,4.01529419896702,,,65583
403,23,,,9.0,14.0,,,8097.87803500006,,,5189.867850000039,2691.8217130000703,,,,,1.4474273662139068,1.4927847490999235,,,66171
404,70,,,47.0,23.0,,,6764.691595000215,,,5277.840299000032,1193.9112499998882,,,,,1.0871207494576292,1.1996586054536178,,,66428
405,29,,,12.0,17.0,,,7342.912550999783,,,4458.934750000015,2153.03520799987,,,,,1.4241868419248371,2.515348307236762,,,1326b
406,30,,,11.0,19.0,,,8029.918002000079,,,5152.8136620000005,2526.1161110000685,,,,,1.5162496544265975,1.671413185215043,,,67458
407,63,,17.0,22.0,24.0,,,8113.804255835246,,359.0750859999098,5229.655658999924,2569.010784835089,,,,2.4606555743280527,1.2830116191567191,1.0833664321635899,,,67767
408,126,,10.0,83.0,33.0,,,8185.828143000137,,118.75822499999776,5344.615480999928,2526.0812610001303,,,,2.800274703184316,1.2391450459800575,1.4431918171380713,,,68017
409,29,,,17.0,12.0,,,7810.655767999589,,,5278.688453000039,2210.841457999777,,,,,1.2467673604564846,1.3146891836391084,,,68168
410,30,,,11.0,19.0,,,8155.768628000282,,,5278.664693000261,2555.933565000072,,,,,1.3436851096826816,1.603403832369666,,,68978
411,23,,,11.0,12.0,,,7071.718539999798,,,5283.69492899999,1438.894849000033,,,,,1.2942401769345564,1.4263437689280565,,,69809
412,25,,,12.0,13.0,,,7807.842987999786,,,5307.655394999776,2179.0157759999856,,,,,1.3500537446445693,1.420047096169308,,,71479
413,63,,,44.0,19.0,,,7652.998143999837,,,5121.985100000165,2314.863078000024,,,,,1.3403059401073736,1.6935948174263282,,,72659
414,69,,,47.0,22.0,,,8198.664776999969,,,5219.831512636971,2626.750820999965,,,,,1.0715825423139358,1.3436267422557195,,,72673
415,64,,23.0,19.0,,22.0,,7677.293892486021,,301.17251300020143,314.3784879450686,,4015.16256400384,,,4.38997075854497,0.5244765165279095,,9.432531343283758,,73344
416,68,,,42.0,26.0,,,8160.750158000272,,,5252.821015000343,2614.9939470002428,,,,,1.303270831703938,1.5341942838128393,,,73667
