# period  BIC_array
6.130309651537517084e+02 8.728950365927090616e+00
6.205753819104386366e+02 7.759521148641880472e+00
6.283078068874535802e+02 8.504835198226288639e+00
6.362353565545672609e+02 1.085117488101542449e+01
6.443655111337260450e+02 1.234390878410491155e+01
6.527061381409848764e+02 1.155187646970966853e+01
6.612655177807605469e+02 9.470210008531410040e+00
6.700523703647082812e+02 7.670601281856505693e+00
6.790758859460851227e+02 3.887932003532284853e+00
6.883457563812885383e+02 6.635911159067973131e-01
6.978722100537136157e+02 6.339376281358738652e+00
7.076660495214777029e+02 1.074606943988209196e+01
7.177386923803099990e+02 1.774935762330699163e+01
7.281022156666022056e+02 1.643295049362973259e+01
7.387694041636576685e+02 5.671135681300427223e+00
7.497538030173925563e+02 2.833689331377854614e+00
7.610697751167909928e+02 9.026779111850089521e-01
7.727325637502110567e+02 1.016518268383890700e+00
7.847583611122946650e+02 3.262301276447601595e+00
7.971643833089252666e+02 9.485310343415960688e+00
8.099689525908379437e+02 9.518618486119038380e+00
8.231915876419631104e+02 1.027811234377594474e+01
8.368531028581968485e+02 9.881655038139030012e+00
8.509757176786581567e+02 3.571458706545115547e+00
8.655831771773391665e+02 2.545253058658545342e-01
8.807008852917925879e+02 3.852708169983827702e+00
8.963560522613011017e+02 7.527034611377899864e+00
9.125778580746351736e+02 1.115440058995471873e+01
9.293976339928893822e+02 1.314663204937508567e+01
9.468490645231981944e+02 1.169977035843345448e+01
9.649684125828493961e+02 8.269432359065206128e+00
9.837947710208400167e+02 4.404211342615326430e+00
1.003370344168150382e+03 3.988600727524271861e-03
1.023740763684194576e+03 1.283457975846658883e+00
1.044955443674430853e+03 5.020831912498920246e+00
1.067067980896330710e+03 9.111369365567526302e+00
1.090136606876937094e+03 1.083360491480414112e+01
1.114224699971438440e+03 9.955695953803171960e+00
1.139401366843640972e+03 7.190717175155612040e+00
1.165742104602577228e+03 7.807016222787268589e+00
1.193329556956486613e+03 1.288714984371608807e+00
1.222254380336165013e+03 2.994483778756944048e+00
1.252616239109840762e+03 2.418857634204044871e+00
1.284524952908639307e+03 4.327158853586979603e+00
1.318101823895271991e+03 5.807321467327710707e+00
1.353481177785142108e+03 7.015349699479429546e+00
1.390812159889120949e+03 6.642121506531168507e+00
1.430260836811545460e+03 5.417246799002612079e+00
1.472012666261835420e+03 4.149077687981304052e+00
1.516275412462693339e+03 2.789141883735737792e+00
1.563282603854841909e+03 1.038807971921727358e+00
1.613297654548497803e+03 2.030660937089692197e-01
1.666618803084094452e+03 4.061658962815727136e+00
1.723585064055926296e+03 5.074947253093114341e+00
1.784583443518195736e+03 6.850397868708284932e+00
1.850057742740315007e+03 5.332089471157075877e+00
1.920519373770715674e+03 4.988406239864303870e+00
1.996560744400232579e+03 4.327875715789303968e+00
2.078871954016564359e+03 3.434001130681110681e+00
2.168261796909689565e+03 2.877075230890028479e+00
2.265684427801048059e+03 1.161000672910347475e+00
2.372273554251820769e+03 4.956710980652871967e-01
2.489386757032568767e+03 4.287774239559212219e+00
2.618663620154900855e+03 1.977030921464859148e+00
2.762102965610681622e+03 6.116001892091333048e+00
2.922166942648424083e+03 6.324639766486939152e+00
3.101923535252368310e+03 6.096445606256281735e+00
3.305245115192402864e+03 3.719294869263706005e+00
3.537090559744878192e+03 3.107270985958393794e+00
3.803915060664926386e+03 7.401703607419563014e-01
4.114280553669798792e+03 8.471633589589941948e-01
4.479791529732818162e+03 8.996072870086209150e-01
4.916578304885004400e+03 7.715780780771410718e-01
5.447741761999682240e+03 1.891043762636456904e+00
6.107574742052343026e+03 2.363000270640782219e+00
6.949273994581532861e+03 8.718522917556583707e-01
8.060048212182732641e+03 1.968883339120850451e+00
9.593471880710252663e+03 2.799954495580180946e+00
1.184744815080792432e+04 2.508074878776824335e+00
1.548582719071333486e+04 2.341563058527668773e+00
2.234937143733915218e+04 1.386965516677719279e+00
4.014000771536491811e+04 1.512063585956354927e+00
