,Unnamed: 0,Unnamed: 0.1,P,e,M0,w,K,v0,dv0_1,wmod,M,a
58,58,58,20129.210522299538,0.5241785768392117,2.077207991946345,-2.6323845114377358,33.2477049299902,45.59473905704322,-4.814490394665683,0.5092081421520573,4.007391553141915,14.892014881068766
59,59,59,29828.182733064037,0.6290857031882403,1.3652974012982453,0.2875614178519954,32.33148509794473,49.00844235657718,-4.9389329699103115,0.2875614178519954,4.166928009946196,19.620686162047765
60,60,60,9934.903147942581,0.4212981631798065,-1.904415373349936,-2.172776778284012,27.701737691635795,31.45804538838208,-4.760004854429597,0.9688158753057818,2.7127080269991075,9.138077208915123
61,61,61,19617.854977421302,0.5470622347412631,2.034857060527025,0.20027946393132454,28.818693775898623,41.45644997322109,-6.359733424743174,0.20027946393132454,2.781007712887774,13.268234216196408
62,62,62,13266.71831430573,0.4686956111575418,-2.9774504435990177,-2.196631045248819,32.482736546991696,38.850196389347,-4.426866285438118,0.9449616083409742,3.52301915330598,11.260408590924078
63,63,63,17630.807271187176,0.5207274785364956,2.267944796077288,-2.915381699247562,28.203430813293085,39.22712771107182,-6.167386898557668,0.22621095434223104,2.916709101419576,12.893867534829337
64,64,64,16542.014799161938,0.5497948241275128,2.6683614303153904,-2.1108246674614244,39.064205411537685,47.1029888198124,-5.019801273778022,1.0307679861283692,4.319690773816923,13.056292177927878
65,65,65,19167.4526835108,0.5126444142081887,2.144733736629441,0.3489331545152412,30.3739941227538,42.182237722521094,-4.750865384779843,0.3489331545152412,3.4183440138012884,13.984708888807912
66,66,66,19143.802128905583,0.5124124340640144,2.216035370964046,-2.5701559339229045,32.9493593526628,44.95383430657557,-5.850884427558932,0.5714367196668881,3.8290065016765857,14.200804408222867
67,67,67,19562.21823640844,0.5394569312070409,2.1507923921110867,0.5436946190003722,33.01660138527866,45.3313511475654,-5.2305735863089415,0.5436946190003722,3.856913132652169,14.534943407866425
68,68,68,55084.4208316702,0.755010918657404,0.7874168343452501,0.7304901766553371,48.158116066103524,72.09927492447079,-4.517138775044296,0.7304901766553371,5.801483022203516,28.067421866555964
69,69,69,9087.38548389374,0.4370605248170458,-1.5883089805556128,-2.2154026312176067,26.699519931026746,30.10154490577839,-5.89135758670942,0.9261900223721864,2.5323448089222507,8.636842032860796
70,70,70,22733.514286083082,0.5704808439469841,1.8475082821872881,0.4883064746503991,33.655445201977784,47.70751438661437,-4.319137569965825,0.4883064746503991,3.8362140826096143,15.671596423163699
71,71,71,13471.494522038076,0.4749602497443085,2.8963447279939745,-3.108058132094798,26.58675140194128,35.0715596998743,-5.367872657204481,0.03353452149499514,2.793190205741923,11.189028508226198
72,72,72,29441.965628653998,0.6052413836437961,1.4458082884664432,-2.6412042707126764,36.551821705661396,53.315339848590824,-4.239932864644582,0.5003883828771167,4.6904083291185765,19.221010698902607
73,73,73,18307.95932439611,0.5381859485331215,2.168634733671727,-2.9561754928797965,28.306745705560694,39.681424641443144,-5.615312362560111,0.18541716070999706,3.222729536226863,13.874838285951704
74,74,74,38072.36281176732,0.7046984207229291,1.1239619920504629,0.7072928521835218,43.07667197539589,63.195709182121924,-6.2044073207221535,0.7072928521835218,4.980411548967919,21.975973645865764
75,75,75,33094.911390644935,0.6517209081959259,1.2216725163100222,-2.952719571748205,31.45743525470828,48.907551759451806,-4.341232229475588,0.18887308184158824,3.941557373584347,20.62988764759252
76,76,76,19984.503888729832,0.5324255981574773,2.0733445066366576,0.4154550346497841,31.009337744526444,43.74018440752226,-4.998106995812623,0.4154550346497841,3.6526116259213457,14.713115887510847
77,77,77,18006.921186904787,0.4823419524416349,2.364702612186566,-2.494567955956676,33.892960200780976,43.955340937880706,-5.016711770192946,0.6470246976331171,3.8361183638709933,13.457771071631086
78,78,78,26892.711337236826,0.6045958216426729,1.4755285810923278,-3.0231949108833183,30.30779874870886,45.08587784164817,-4.312932142287441,0.11839774270647485,3.878711933276639,18.339695951547895
